"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K03932: lpqC",5.06299950550159,5.77679220513601,4.61917926158293,6.61473478505808,5.31797369233416,6.37375608967872,4.44034165699869,7.82690203672457,6.8698021842037,6.10486185701717,4.29635282769049,5.12734730739093,3.18550511012534,4.2798529048229,3.33972112269695,4.31792524821506,5.03675186876741,5.57424249123562,5.14014475111336,3.5038675345488,6.32572903550611,4.96495821648274,3.86997076166929,-1.09444920222946,1.74856662336951,-0.560455642671649,-5.80823839666448,1.83940661807754,0.270312559228734,0.0872934662708288,1,0.0941405488860984,0.9998623996762
"K03969: pspA",-3.50609701355404,-3.09907287775561,-3.95360162269664,-2.03236875719512,-0.354309507903372,-0.915004074072403,-7.21965837833053,-3.37238309193791,-2.83119175443314,-5.53090400750515,-5.15332193730598,-5.18061917622246,-2.19150175844228,-5.45014523146413,-1.84712224382278,-4.73622275829168,-1.29682443275053,-3.01733222819596,-4.85951477027806,-5.60416347308057,-4.77788773886463,-4.66668520831459,-6.44297792198504,-0.893556933540272,4.38930203413223,-0.179862256218867,-5.78596893875478,3.52912256711202,0.405616244498843,0.55649895060889,1,0.563900580360043,1
"K03972: pspE",3.34334942614274,3.48012603529933,3.23953920260161,4.60373183711308,3.03530176509351,4.35210186961291,1.95627695373655,5.12201873782016,3.54707449536915,4.16567063311819,3.39826003467705,3.22617610764803,2.86808667010634,2.78717906309546,3.35240288079619,3.51031898876122,2.64034434450173,3.3113971703368,3.34322009785694,2.28804827400776,4.46667113031409,3.4542994231028,2.26854840462136,-0.482717253566333,1.20427949017543,-0.386345024670435,-4.91395752334855,2.17408742670064,0.342187535659353,0.223034844339965,1,0.283152593826452,0.99992052799138
"K03973: pspC",5.09286662542149,5.83824707324548,4.89898208351693,6.8438505093795,5.34530226692796,6.89463262875138,4.72226156485534,7.78644166509082,6.19712243521299,6.56068753253568,4.92186422432775,5.18214738905461,3.66100755718378,4.59911422746627,3.12068125972881,4.83807397533063,4.9810371401208,5.40486114745419,4.96005557021253,4.22891504915043,6.6615066543234,5.85976749303325,4.68356946504388,-0.829139398632528,1.63112463686795,-0.491258478547991,-5.75891242060165,1.84533427442137,0.278125056208823,0.0987780883462483,1,0.101501355165732,0.9998623996762
"K03974: pspF",-4.40919451645394,-4.52482271849041,-4.30588423240885,-5.13455755425409,-4.58104828320889,-4.83133377877106,-2.10163899578664,-6.01871784877565,-5.58114583233397,-3.14116227376687,-5.38085282053432,-4.89498186580527,-4.66036912867233,-5.27599916037914,-5.36499750999426,-5.29920256757033,-3.25701055528931,-4.87464881866635,-5.22197181294488,-3.47704327220784,-5.0068224642427,-4.76170383415741,-3.42687542149979,0.0550295470961304,3.98944698197912,0.0139272936085524,-4.13164749691964,3.79932740465644,0.489062502226303,0.708078439666715,1,0.718774018164498,1
"K03975: dedA",5.1534412993145,5.93009373181578,4.93158885010773,6.34955792893571,5.57985887375611,6.32696957823351,4.53640568654171,7.31209265814286,6.22228846991557,6.5414097559886,5.0798621173771,5.09058985879977,3.84060857320473,5.03288356398479,4.21846160725209,4.84533121975352,4.59916153924353,5.40073490969151,5.48854573789286,4.4229191032895,6.59130425444596,5.17715959870774,4.31640436506973,-0.796047848713376,1.24551136961675,-0.516202061450627,-5.72764549519723,2.37932343129738,0.29797196784607,0.114055285390508,1,0.152603552117387,0.99990579796978
"K03976: ybaK; ebsC",3.41358153530048,3.40413100388172,3.41943939063131,3.67003550915755,4.13900344581877,1.76407279409893,2.31552578945127,3.94055898820914,3.32172582228763,2.85432039083045,4.11224518384777,3.52195775844244,2.98971107743997,4.46242949390292,4.22840055029632,4.15352990512327,0.128680951772215,3.3565826129434,3.84031340907564,3.29486780279764,3.39908792754913,3.01020412324703,1.60650661935949,0.102204704948988,1.35926416322224,0.0525410322032129,-5.42477967009463,3.5820489187829,0.471875005740203,0.830710176390942,1,0.757268877600728,1
"K03977: engA; der",6.68305556839603,7.1371911485766,6.50184020503796,7.60362486716842,6.97582718536662,7.28468527228738,5.62076959560229,8.74370112767066,7.46909959130778,7.29160559895151,6.67736395230558,6.66094521736449,6.11012528951759,6.48654379205971,6.33410942886737,6.52103404382615,5.72087024136934,6.9007663376407,6.87991203000641,5.95599806640696,7.61364411985744,6.62375360792124,5.26504681725347,-0.601463346388285,1.15782922237546,-0.491268019913429,-5.51534503077113,1.93938884696714,0.275000057399744,0.0948749658621278,1,0.0985579460206976,0.9998623996762
"K03978: engB",4.68658095034673,4.78777666135171,4.64006769519622,5.7009449859308,4.94354902725289,5.2382782824769,3.16821346910195,6.17284938596497,4.60969784301175,5.13503593693763,4.62620809426403,4.38738979861945,4.18902357431015,4.96579168968125,4.64145940779007,5.00540239671999,3.57633842009874,4.58261338648457,4.56069012562177,3.76463847962018,5.04468670036673,5.235572344981,3.68697770718853,-0.318400917102521,1.08673208070198,-0.271799147183027,-6.02036784791112,3.2051966768995,0.390015624064837,0.365776779322691,1,0.459392218655957,1
"K03979: obgE; cgtA; MTG2",6.9896204552003,7.375278483696,6.84118008181992,7.64063489903323,7.13542372200163,8.07727319956319,6.17221705691377,8.9003253689691,8.02356585137287,8.00892556386314,7.00032031288195,6.8931726555362,6.44317286873899,6.9383158970205,6.64479733740771,7.02882891839169,6.08455456564507,6.98551020845494,7.39894142268672,6.0162134338364,7.99041939225916,6.72348989429581,5.57725469682672,-0.690738210934619,1.09856681411216,-0.562114266212441,-9.14361727266676,1.67179594905887,0.260530484241952,0.0655464113490509,1,0.0752653161467016,0.9998623996762
