"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ LETROZOLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00020",1.67431812216973,1.4905246669766,2.23500783931924,1.59520220001651,2.12397630108299,1.19110329734162,1.35139403970698,-0.631843277720998,0.546245199457855,0.843805850916199,2.26073994612278,1.99152852199353,3.50582966519679,4.560614869826,3.09706373091907,3.34938359653677,2.80668122346839,0.690407399322968,1.28105038804247,1.75343274964039,-0.251290625990093,0.842022259368552,3.13375684686121,0.791832657605855,2.00003875685922,0.368609741072699,-2.87149147922895,4.2703291513088,0.368750028679017,0.312366085358924,1,0.366765236988244,1
"K00024",4.74618299453554,4.94271432133414,4.15308444240752,6.21218066129577,4.37902625830013,6.07479103744752,4.00119384910366,6.85315606949864,4.89211153559242,6.03984604794561,4.57485016527637,4.98028976290201,2.31200012242904,3.99874985610897,5.00416894693001,4.26196875284512,2.10639994548595,5.67388128629977,5.25802359428572,2.98527186368288,2.8066896364733,6.23116507739991,3.86256845955215,-0.815035395964869,1.96268115879476,-0.415396689574806,-6.45966768365403,2.54995253242581,0.332812538296103,0.191864880815012,1,0.222542163718634,0.998792759935189
"K00027",4.60380266089964,4.60380266089964,4.52684571618805,4.45066494234807,5.59399373030454,2.53539093628437,2.69146834889333,4.92140691136536,4.45050477899082,4.29473469322295,5.70490705363518,4.71859401204548,5.4412351892129,3.39776880847218,3.54404100101025,5.15923401968365,6.32657116139571,3.03357647439868,3.23940973610247,5.83887681344508,6.07012006614823,3.82915438753606,5.19851069158332,0.299316157649269,1.90504902397468,0.152799768835391,-5.04590935633433,5.94577567416606,0.451562509947986,0.875341211474417,1,0.748298938870727,1
"K00029",5.02171237955425,5.57039251873091,4.68881355386806,6.72988100640825,5.2095307750299,6.77369338735016,4.24988891833279,6.95910900647579,5.57948283129701,6.2458279151235,4.15166890640001,5.56519555597839,3.10022106155009,4.65808683027822,4.73068614843861,4.84220471678024,3.68738179264361,6.01817578701951,5.35528309407218,2.82218747784267,3.57634595682329,6.95586161550513,4.49517416964834,-0.782169108570077,1.73118936938892,-0.434272094062792,-6.27902829142787,2.37602910384608,0.343750035229488,0.205078121545168,1,0.232778553199896,1
"K00030",-1.87970886966208,-1.53780512036447,-2.27869603780962,-0.420128953550082,0.404361724288517,0.139303750178328,-4.22514608403272,-2.14256185419537,-1.84303558957409,-2.05676932189908,-2.35197999135583,-5.43626608464393,1.20666000612034,-1.20214443529617,-1.14054287717886,-4.82611967718947,-2.25564836596488,-6.321868394976,-4.77575777885712,-0.569816907499272,-0.0452808296497622,-5.49146188438998,-2.17229971612109,-1.0403748330875,3.66941076399392,-0.226585141054157,-5.27793784766138,2.44310821587118,0.379687525981983,0.382727299064121,1,0.415053587569551,0.996926450638335
"K00031",5.03155520730839,4.89647005630571,5.18157331048086,5.07339746797996,4.67863203916504,5.00302612593572,3.19047322246321,5.16989016831386,3.99548099619062,4.24748082802722,5.1200641714319,4.85363281965464,5.03659308658941,4.04691299158225,3.33808123039527,5.08484892230399,5.33828921628381,4.14168748796445,5.16042118494724,5.20852705520266,5.31351633693897,5.36270489673652,5.31043220979406,0.214703070504039,1.0226312304888,0.222466483653075,-6.49044502778513,7.58022452776105,0.318252772582358,0.538981263599386,1,0.163071243288445,1
"K00033",2.44521595919333,2.27619129492292,2.76124312632202,3.68721215311498,1.87859454766052,4.76835352127671,2.26792654228763,4.21928766198872,1.77316137482552,2.26295255951353,-0.686638942786333,2.72971884666926,1.45266826383486,2.7552495646821,1.79479464409542,2.90583833044369,0.762622101615626,2.873734786077,4.02709382835139,1.1072573742065,1.6908486939678,4.23991105310133,3.08402045743818,0.0530928585907269,2.06560251718119,0.0291765889347253,-3.71462471693248,3.71073605457341,0.485179410184784,0.876797018325093,1,0.881163957462816,1
"K00036",2.11558528744698,2.2643371477495,1.91684343519567,3.44745675301384,-0.0204959319610136,4.51500629133939,2.10879269900322,3.85046185618059,1.06945712078905,2.54492228830519,0.235548215620389,2.88138542057716,0.289534281509708,2.38860285673256,-0.706522545415396,2.23262723572662,1.53268450421312,2.92850392906747,3.86696690262484,1.17728948742111,0.587595630835267,4.20682085094512,1.17327877153965,-0.040548040510699,2.42423521674914,-0.0214100892059773,-3.62740875894057,3.48119083287581,0.48750000254472,0.82056183190707,1,0.87822866713395,1
"K00040",-3.97722350168463,-3.28386834636257,-4.46978418667739,-5.19036830909902,-5.06635907822776,-5.12969913801889,1.01212263654088,-5.42685777400409,-0.298489521603317,-1.46375101212647,-2.33469945025932,-5.40301495017902,-4.78430388100898,-4.13860054248172,-4.32790549959938,-4.98228031222507,-4.48109549344273,0.0810958157576351,-4.72623675785678,-4.39135847862219,-5.16403643442876,-6.16642927536055,-5.21353205088997,-1.04044654584647,4.84623540120187,-0.188827389777301,-5.02717147292527,2.83304299295005,0.404687520122571,0.531502190788831,1,0.499852000746931,0.994764633221422
"K00041",4.90177034998626,4.87521835582516,4.91445161516524,5.25282668623805,5.51967381135451,3.04856790167734,3.15299878811036,5.21756888823852,4.17722189526369,3.95430695356433,5.11423105814317,4.87230201176014,4.88656118674349,4.21934117940895,3.61199808945584,4.87100953737853,5.53514249818678,3.9006534654987,3.22537420788038,5.73377126970394,5.84084535441322,4.94531421391614,5.30130625033015,0.227334588454053,1.40628042597578,0.155874282654579,-3.42335696057069,5.26734624018115,0.414976616821549,0.634479761592776,1,0.554790845764143,1
