"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K23547",-3.82155701548474,-3.95312005152728,-3.7043194740312,-5.41303110383386,-2.08881980763617,-5.57214245394734,-2.03872760310625,-5.93862256040737,-5.71509728459511,-3.4394678003028,-4.73044017358691,-4.6079010992497,-0.83297370618642,-4.19042781222106,-4.40497369609652,-5.235078738635,-4.42383228403101,-0.88982466092993,-4.39889671342767,-4.82049635259949,-1.39093423606117,-5.47967631049528,-5.08227430280145,0.153336235971119,4.57568549653761,0.0241199939763007,-3.56474752468883,4.50148642593246,0.480499223929895,0.710111626205284,1,0.754822407661997,1
"K23675",5.11350758122396,5.35386681624451,4.55100276682619,5.47954392904215,6.61098552082275,6.42220766843245,1.48414344355747,4.83779153515555,5.62219147688688,4.21317181136735,3.01451415538552,3.37631425506718,1.56477211928174,5.11961715838921,5.10896727926764,5.48385290936632,6.10574254758226,3.00493565707133,3.69840580140856,6.24884036981188,6.28487502071767,3.6796960648013,6.06643569157823,-0.676371986155893,2.3616600994553,-0.310517304875232,-5.45704890196489,2.48252839037033,0.384375024852996,0.266305922998935,1,0.393742794550651,1
"K23676",-3.92636178232082,-4.08985939973555,-3.77846875758495,-5.30512025122173,-4.99223375818939,-5.22711087782741,0.375353899364469,-5.31860201289928,-5.27238624909125,-0.300979254987793,-4.66930826645298,-4.84250348197436,0.44127741105228,-4.81378127726434,-4.33335121742495,-5.30971830262973,-4.4500975812007,0.307448942907326,1.26776680859535,-4.08305204262749,-4.67199465240003,-5.0248195245683,-5.49125710627072,0.22413988206759,5.56965620986863,0.0293443320662776,-3.97014797751674,3.83529997769944,0.480499223929895,0.744452690566856,1,0.780805325672779,1
"K23684",3.814699514922,3.72239347019205,3.8148743425368,5.22832448677339,5.76818839361922,5.52868349828415,-0.0352642624855113,3.80970194778939,5.0304040855856,3.82129836518979,1.00526389626471,-1.56549699919049,-3.27245562943614,0.994874495297719,1.02861787819232,4.16658151540991,5.07895350036764,2.61335312494334,2.9992059345706,5.23340542550828,5.37854357442052,3.26566560535082,4.53277008351376,-0.231425384380965,3.75719369828579,-0.0601742522264314,-8.28447586023501,3.57974686816025,0.463338541017067,0.4045956785777,1,0.789495418957977,1
"K23721",-4.11887946308712,-3.91039850500809,-4.50010223955344,-5.26077129122798,-5.45573541769189,-6.38182438323732,-0.395218506810027,-5.60964837026731,-5.32920158080406,-5.47460860247413,-4.85075248081985,-4.75239923996478,-1.63643750121598,-4.11658337803183,-3.8012334409022,-1.31277288966557,-4.51058330950401,-1.06815689810235,-4.41666940337857,-5.13223786409017,-4.59254667221979,-4.83391793198388,-6.06321658152432,-0.520851905991803,4.85266313700703,-0.0968032970339059,-3.73525146183082,3.52540168692236,0.454687509295184,0.68396258983417,1,0.677003554688346,1
"K23723",-4.49538986108117,-4.99247757218616,-3.85685930470161,-4.79465434082273,-4.88414316789738,-5.56545743680683,-1.09910285316703,-5.72223440398089,-5.56936146452601,-0.296950199126604,-4.530558676594,-5.10694927335942,-0.553656093996869,-4.56275284788507,-4.17763329565897,-5.145829826783,-4.89940096980193,-6.42759783499219,-4.4176979390493,-4.83999845133526,-4.7544678518961,-4.9820396295258,-5.81915301591583,1.45331392204514,4.79757075002752,0.240501471732112,-3.09181827391881,5.92905618827042,0.37909518985085,0.455103752919924,0.997507590799238,0.4479745414222,0.99438465462556
"K23725",-4.1358192609592,-4.41822452356275,-3.73314373323763,-5.95125491441905,-4.44313988541214,-5.60968871194351,-1.87431047371166,-5.51142259192979,-4.82799540930407,-1.09194047431015,-4.45635544706198,-4.82604055910788,-1.30249660428296,-4.49801942014409,-4.37402464179307,-5.68958364754028,-4.04615290387456,-2.564472499924,-4.31738397131348,-4.93557348000946,-4.32533889723197,-5.188608405854,-5.54950424073266,0.766435512189608,4.21047029610284,0.148270592624054,-4.21650214074485,5.23271089506973,0.415625017669282,0.624437211801395,1,0.594073906936717,1
"K23753",2.71578052519801,2.75453280362351,2.67843762593441,3.69032178693986,4.58265640141453,3.89170715388543,0.672015204865012,2.74382016001644,3.31178593047678,1.59416007418931,0.921312219421736,2.63366767100674,1.76404857600888,3.84701697861993,2.32148660427516,3.7839548058358,2.81964246480411,-0.736807433470764,1.85569919305773,3.70769870487248,2.10420075485579,2.6878089200345,3.14203081349413,-0.00874395206405065,1.85004446915873,-0.0052528450593463,-3.56826302766171,4.54745655739566,0.498437500317894,0.919472553319474,1,0.851962436267293,1
"K23773",-4.34156158590055,-4.380197908178,-4.31909104712967,-5.05380261035915,-5.14103717794307,-4.90064521032829,-1.73224806425802,-5.02769897117573,-5.70921578175351,-6.06797130800394,-4.28088058620938,-4.3677345866198,-0.0576949890951965,-4.6265534222324,-4.37738204229158,-4.94760546169067,-4.05744322242531,-0.51564288490324,-4.33943506884807,-4.82342856277658,-5.11835280427519,-5.40221805169193,-5.47781249416464,0.00377646714044921,4.79914946001572,0.00306270065254453,-3.74119219423411,2.73272101554144,0.5,0.746544075768595,1,0.774736341444933,1
"K23775",-1.81303530486363,-1.55917441787502,-2.18051149729447,0.615617603663871,0.120533338227867,-2.06768448099307,-3.33038043878495,-1.05911017502157,-5.1404265592007,-6.45684089944556,-1.73112237588117,-2.33279144211131,-2.58728020939099,-0.464402689777122,-1.89976832006234,-1.7507503049992,-0.342230976856296,-6.09924883087577,-2.31116507300826,-2.35370998788975,-1.04964147451696,-2.00135064018096,0.763409513834899,-0.603241495650649,3.0166796690401,-0.162073066134177,-5.13353388557941,3.21314464923194,0.419656802998231,0.600159280800214,1,0.569704434497391,1
