"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma; s__Halobiforma nitratireducens",14.3724095153446,13.8026919336139,14.4252834124543,14.4483935882604,14.3606426630635,17.9405277034865,12.7847463491433,15.6665893040111,9.27160312229132,17.3243695783422,14.304229325472,14.3782744627297,14.836213484384,15.1054121350938,9.78716936037516,13.4441868156631,9.53187149232939,14.9903071354044,11.4380135079584,12.0740290208766,14.1153782001121,17.1104383677742,15.3958638574149,0.887333571659338,3.57798746963472,0.268356800431365,-2.88339640964616,11.8965137079394,0.368750028679017,0.277447464723198,1,0.352702347961636,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus_I; s__Paenibacillus_I darwinianus",-2.20816400263828,-1.75713750630619,-2.65554057490074,-2.96836615830722,-2.75445944420089,-2.73567805501212,-3.39275914178281,-2.63290268243778,-0.198265519366199,-3.09569091288003,-2.6644126514182,-2.81061037392369,-3.14143092254535,-2.56272119109801,0.14022667380322,-2.53311354335965,-1.89116881204836,-2.08884531302302,-1.12651804502921,-0.435149230516506,-2.635650313318,-2.74602381713525,-2.43383838772609,-0.704829340675113,4.15635720303581,-0.15060445477363,-5.74547549467952,3.57876352640265,0.418750016978683,0.556756290320059,1,0.525365380555977,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus_J; s__Paenibacillus_J bovis",-2.29874723024536,-1.73588492193613,-2.85202872754921,-2.88898112936027,-3.30132826905212,-2.38140956848561,-3.201317040745,-2.7883973095748,-2.74002083456215,-2.25245003012535,-1.83284131833696,-3.39121209543031,-3.21659614763436,-2.22328370488794,-1.97068444712038,-2.85409481368385,-1.77473781957204,-2.83576401494159,-1.76431100352069,-0.223123722188676,-2.47601280535557,1.28412472414897,-2.69510967765127,-1.06753952988311,4.29493720122044,-0.233048731536829,-4.76457967548436,2.57450992837847,0.393135748140252,0.48485590947815,1,0.46557917943125,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus_K; s__Paenibacillus_K guangzhouensis",-2.38026907690497,-2.45219760907118,-2.35035420424733,-0.151923516846461,-2.76811075951501,-2.20086457796875,-3.05203081911046,-2.23591937263194,-2.56336353813204,-2.85548553065966,-1.820763607981,-2.45985188439296,-3.02886151921255,-2.73469509418643,-2.05833111780392,-2.7246733439037,-2.51579939625127,-2.53468108772767,-1.50841031861773,-2.92916574273502,-2.63021119912333,-3.01060370220294,-2.70793701863361,0.25806527462016,4.10242082486686,0.0513622255875655,-3.40876106798546,4.48232360516248,0.469578789344162,0.693994742719748,1,0.721331868112538,0.998907992518725
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Saccharibacillus; s__Saccharibacillus sacchari",-2.13285774382294,-1.80630027082297,-2.44142127748559,-0.294716058518143,-3.10701852043919,-2.58268789099968,-2.86493001303313,-2.76826592972598,-2.30483490879783,-2.59121564571794,-2.05053806036389,-2.856177193596,-3.28551795179754,-2.3179719460528,-2.99610581638172,-0.26833556916543,-1.36868492588109,-2.26482972472636,-1.54204245573359,-0.313999839658198,-2.82937220895288,-3.16380069931032,-2.54082659461056,-0.482161724446671,4.03661418332804,-0.0810562019090419,-5.23879201705058,3.4113374675146,0.446177858157851,0.67546926934915,1,0.613333261166079,0.998905334096051
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__SCSIO-06110; g__Longirhabdus; s__Longirhabdus pacifica",-2.45427778407775,-2.45928836508763,-2.45226892757521,-0.21895871723471,-2.95211742709393,-2.23424747546475,-3.25313915808363,-2.62327120628292,-2.86942438151657,-2.60167108652529,-2.1374064553007,-2.99025610667826,-2.94211459121903,-2.36868025474477,-1.59442171449082,-2.77452931665761,-2.12313089471846,-3.56573110568552,-1.89289126213168,-2.42967358016723,-2.63871122860393,-2.83079745139078,-2.59818332562967,-0.0382940528406959,4.25435129939091,-0.00800422378560193,-3.42115773451624,4.39082309570945,0.492979720612874,0.714102194810472,1,0.731213735954448,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__YIM-B00363; g__Paenibacillus_AE; s__Paenibacillus_AE antri",-2.31931913633589,-2.59421093451853,-2.0568598250466,-0.264672606571535,-2.47321137229433,-2.41937791237553,-0.63834090263555,-2.73158841916676,-2.73231640441211,-2.67634496840094,-1.9515061989341,-3.07952102598545,-3.0906008537785,-2.5004930818471,-2.09506097977993,-2.94093341333368,-2.183180936255,-2.64302166156526,-1.55935262411379,-2.79806689563702,-3.41314718724374,-2.58928581841397,-2.61933260731247,0.278685882002481,4.12029720002965,0.0647154854978114,-3.19914264785638,4.37980552458205,0.462500007672546,0.652387433322778,1,0.661202055007686,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660; g__CAG-1000; s__CAG-1000 sp902764145",-2.2211624425044,-1.49596516808661,-2.85766966673723,-3.50120582951708,-2.95849073380254,-2.70594911688172,-3.13290944396352,-2.49543003038423,-2.79107086593058,-2.97255316912066,-2.12285452595824,-2.61964466256006,-2.95627639782752,-2.0467244062958,-1.92877671413285,1.18945012812519,-1.62516503053517,1.17350524268099,-1.61568381678361,-2.96498320813748,-2.80450029109325,-2.53621238933506,-2.71328315879617,-1.30663545660722,4.35003775695565,-0.251265551542038,-5.10639286833229,3.22651813686955,0.36406252986395,0.461309566923186,1,0.400917375484423,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660; g__CAG-1000; s__CAG-1000 sp902778125",-1.79533788420853,-1.8378808034164,-1.7787019256495,-2.41555852021439,-3.27143092832056,-3.04990231898772,-0.674974244938923,-2.68755969537545,-2.21232014769615,-2.49153613499916,-2.33218612965921,-0.472559550242087,-0.417101859217521,-2.38498805091846,-2.44760336880403,-2.67849178107724,-1.85198642900077,-0.361001117950122,-1.87602264042445,-0.200027121846277,-2.46797436717923,-2.81173585286529,-2.84191653106472,0.0671586664258808,4.00996051067617,0.0189137381644574,-3.4951600806542,4.84121329861889,0.490625001908018,0.727555865621626,1,0.732863800769664,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660; g__CAG-302; s__CAG-302 sp000431795",-0.532099017369893,-0.23238753618647,-1.06798512285265,-3.46423042451851,-2.54734633905291,-2.89599586516018,1.04001618941908,1.63384149531947,-2.15228905765778,-2.58132723309167,-2.55967054839791,1.81179525697486,-0.370881371048059,-0.252110185413118,-2.29220552336653,-0.521778164878151,-1.67384489328456,2.00395860898362,-1.62451227302578,1.2034235603934,0.997122913785169,-0.30102993619616,-2.54261046974304,-0.667366256033942,3.91044405379823,-0.152533700998969,-5.03987762356727,3.2223429411542,0.421875016292319,0.566504072287304,1,0.577687429636927,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660; g__CAG-302; s__CAG-302 sp002375205",-0.938783711364868,-1.05393548673055,-0.782571347760536,-2.799309165217,-2.80734838801435,-2.33836710533749,1.12983618682643,0.718527451660476,-0.171002220805123,-2.08311171364234,-2.53291854470528,0.99266641316688,-0.451311044837931,-2.7887597212997,-2.43306397472578,-2.72612063105778,-1.760105751202,1.88369422162562,-2.18805647388331,0.466413683089526,-0.189026694397086,-0.151350761465963,-2.96677955829239,0.273871362105719,4.08280144025693,0.0661493225486591,-4.32046092882783,3.64816645747143,0.467187506704589,0.706984344424166,1,0.736706537947347,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660; g__CAG-417; s__CAG-417 sp902791625",-0.233944738291656,-0.939532838742421,0.27357251874975,-3.22320598774006,0.408252921617994,2.08166477488379,0.732030800770584,1.09078971430031,0.185799326265549,-2.55469710794433,-2.67485105569126,3.08768261330958,-0.65759389038076,2.64902808975796,-2.2860108152183,-2.43681760440277,-2.35660847281446,1.56627914146939,-1.39175205616926,-2.63270540543859,-2.73749035614323,1.61061965068204,-2.38532108099568,0.796343963640519,4.23945597671098,0.173682385877663,-3.20399850801962,5.83346911196769,0.417187517323441,0.499319400603577,1,0.521072979361969,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660; g__CAG-533; s__",-1.27451309149874,-1.31393473138498,-1.24130774422501,-2.93999283381194,-2.64521155747159,-2.57087464582108,-0.524990788673156,-0.239718521688257,-2.02879023530919,-2.7588558904705,0.054921585249188,-2.35152170647357,1.5025693314065,-2.9435362807594,-1.98490012099543,-0.457913643756935,-1.76049012181753,1.53026961586371,-1.59027973210996,-2.67924623842594,-2.82664719723007,0.434451691033106,-3.01606965915487,0.0192914650145912,4.17273872814032,0.0038867217085969,-3.629371389416,4.48378253837219,0.493750001271763,0.765184001687537,1,0.795248784207279,1
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660; g__CAG-533; s__CAG-533 sp000434495",0.478396020283368,0.174763657594971,0.709228580535418,-0.276057863127148,-2.22077497058164,0.453029235099871,1.11623029160192,0.69535244260708,0.100726720757113,-3.0113546712313,1.56702945837755,2.02303461147799,1.89333648988901,1.09911362055293,-2.10972504013532,0.58785670149441,-1.49272025875452,3.34465560776831,-1.97567695646771,1.22227709774034,-2.54698013340345,2.17665377743182,-2.63097693207923,0.345242822259321,3.59923953255583,0.0766473421015244,-3.16631127517434,5.18454144103104,0.455538230618297,0.617900415134244,1,0.695485278556583,1
