"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K15460: yfiC; trmX",5.30401906782405,5.30290073810301,5.32493645097062,5.46397459235569,5.76130384590441,5.63682902701755,2.05630324150475,4.27108260730978,5.02776741289785,5.56586153915851,5.51434329495006,4.35835570105137,5.16972143875302,5.70592151493589,5.60434310950773,5.86926307656907,3.92265447624409,5.08957572480611,5.59656888979884,4.63806639010193,5.55312063073739,5.08559556658668,3.77674219898288,0.0622155666846291,1.18103868173025,0.0421123700017983,-4.44995276466937,7.06673878945098,0.469578789344162,0.650162837674673,1,0.755126947839312,1
"K15461: mnmC",-3.00000670352543,-4.49622429558026,-1.20481012626142,-4.1823133617014,-5.14566778546663,-4.93935561165091,2.53099465364268,-5.47708700289346,-4.035306436243,-5.33228073995912,-5.09848921872433,-4.45878043169812,-5.04958388037363,-5.26677287340829,-4.96743725860753,-0.913555811648068,0.307603236624894,-1.23318994382976,-2.57845893431141,0.711163760571249,-0.851173400136339,-4.0677384755027,-0.33191291284762,2.95151877816201,4.67851324856727,0.553838853937092,-2.39058177341863,6.27583040850919,0.268750059850186,0.176244182921465,1,0.0897357528307606,1
"K15509: hpsN",-1.43810184296188,-1.10363387187566,-1.98341280385283,0.193916277337243,-1.20660904123102,-0.619110974089015,-9.44939834757701,-4.43945064515231,1.41771933126975,-1.73781290039726,-2.94230448509428,-1.20059244113402,1.68682202919808,-1.13085228689075,-0.435746814836827,-5.60929115258328,-2.95042043804456,-0.459443780714214,1.10488878470184,-5.07453715831406,-4.55287146224995,-0.783099497350801,-6.52036741548708,-1.01041769538438,4.60959983568298,-0.189107522118867,-4.75448740472841,4.06605576477746,0.394695810180191,0.607713758306951,1,0.485906411699755,1
"K15520: mshD",-5.0151434551275,-5.05397320799523,-4.99839712911081,-3.5767339768593,-5.01010107744863,-5.15434251460036,-10.4734076793167,-4.39561672603995,-4.31792715273438,-4.92174214484696,-5.44384158201092,-4.69618507478402,-4.42803805359512,-5.39181117411554,-5.53140317858732,-4.90477625352414,-4.05875217320887,-5.48450817256329,-5.03771134085548,-5.23584551110668,-4.56257833582784,-4.95131821871744,-6.41411300306638,-0.0906446097868656,4.52675490522657,-0.0107561951564767,-3.81024177571939,4.16906660737337,0.493750001271763,0.717879607680983,1,0.739477675961809,1
"K15523: FN3KRP",0.536467837867303,1.3052330058762,-0.515351778119952,2.65169614869008,2.55398743590819,3.23576605584028,0.692064153912287,-1.11768657440501,-0.436073398757344,3.2451544919588,-0.11542118381997,2.43335062331512,-4.4505601300502,-1.86744053540775,2.5719820484943,3.05115622682375,-0.655820948627629,1.07994171729453,3.14857930851592,-5.44143531286264,-1.49281181566956,-4.89640303575548,-0.541346622953943,-1.05248915049986,4.0602810138374,-0.211236709740476,-6.30208074407799,2.67220147915473,0.370312528288052,0.363940690188014,1,0.370526701433242,1
"K15530: RGAE",2.86973757425303,2.51692619117835,3.64464065671137,2.80023663058236,1.38758723384575,1.68344841558262,-0.258137813959791,4.46943170075573,2.47168535192697,2.00470398598069,2.95682613351471,2.68823048335302,3.31599990759677,4.02460114985789,2.67664745353966,4.17406842686381,2.61691519203394,2.8386218948994,2.01314539672516,3.31250670843972,5.38442807464282,5.80909934052788,4.19033046656483,1.17278037638061,1.76503948854734,0.645513326548226,-1.32357511696387,7.23051821562846,0.218750083705167,0.0305468740664142,1,0.0462739538905367,1
"K15531: rexA",5.29721582066003,5.42765104322669,5.21678581071467,5.64351124096278,6.33067413674619,5.97584578266226,1.859851002708,2.69329929056776,5.26607723425363,6.13912247483001,5.65072194182222,0.738068523901093,4.20560635751883,5.76198168538942,5.74956974563852,5.93340806611605,1.68726179796646,5.31077351748264,5.87748219407502,5.13559342131596,1.73464318993638,-4.69685285021753,-2.70602535977735,-0.354479614318899,4.14779032009347,-0.0877755219026243,-14.0161780472826,5.404222337249,0.399375996308603,0.319080808114619,1,0.446559753133863,1
"K15532: yteR; yesR",7.58619049143479,7.07447709391483,7.69350665568245,6.81204120551096,7.68515723090624,6.96992274809081,3.7851287027406,8.15786379887016,6.77759481576391,7.16297035247156,7.83678621321166,6.65114397129765,8.57715612969967,7.74238866710325,7.03489317753018,7.75053185874323,7.22492091353212,7.67011247622921,7.89952289194897,7.2834885989391,9.33497871293386,9.03574042382937,7.52893268835245,0.585179747042972,1.32925246918624,0.407513729687305,-2.17934196139866,12.2280700521441,0.294851844101203,0.112554319611124,1,0.109082130620927,1
"K15533: K15533",5.60380882062929,5.75112644641343,5.3890919832775,5.94846759192029,7.09735075660106,6.97703510966393,1.70701670562458,3.51705759564934,5.52140673350135,6.62618712242238,6.03894077058139,5.50094541390588,4.94249896084167,5.9972668711364,6.490371236472,6.6579610725187,2.59620977170855,5.64435152990939,5.87841869032269,5.21380913667691,3.81209201472154,2.93913587771854,1.06056917939872,-0.516997093831011,2.72278095068313,-0.203911968958652,-6.39599424357919,2.79988605920389,0.383775375932683,0.360080733952299,1,0.381691003945745,1
"K15534: K15534",0.239090309053731,-0.864857285043538,0.461678115529551,2.7414540189336,0.249120352222535,2.99819304099448,-4.89667869773741,-4.05988376236946,1.46546417871577,-4.48785285858151,-4.57796339295406,-4.43925035223539,1.40718814322869,0.148191073544599,1.32883439843631,1.49315940778884,1.61050842860763,-0.131039686747984,1.15085315368266,-0.494210761251972,0.684421587287131,-5.09664168167273,-6.03270135290088,0.26305431172527,5.68795146990507,0.0400887912323765,-4.14509223617078,6.83452271888717,0.467187506704589,0.572653242098489,1,0.752450783059819,1
