"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ LETROZOLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K07722",-3.76567460368251,-3.35940812816159,-4.14546337201909,-4.06671930732743,-1.73734331917402,-4.57714737679877,1.10024542843225,-4.34992794852976,-4.52401655072898,-5.19297283222805,-4.89502855806813,-4.99377614932326,-1.59090160815833,-3.86147740917867,-4.14604120312344,-4.89101623725687,-3.97498088855191,-1.02099591973678,-4.2268652833687,-4.62897444968476,-4.7734840927787,-5.41417733821181,-5.51108727310684,-0.94793736171936,4.82392605528833,-0.176526440311684,-4.87797475167464,2.95646695850602,0.419656802998231,0.544696615373123,1,0.576913520399879,1
"K07724",-4.49490691587407,-4.15100074814828,-4.79784640544492,-3.88034821918455,-5.31833673651215,-4.21242002037413,-0.976703874428599,-4.40144999864817,-4.09870202892614,-4.701933232144,-4.97047849134795,-4.83499996837519,-4.03601103077434,-4.23683502993348,-4.70862603345372,-4.64864708479829,-4.49696200571119,-6.21842317415536,-4.08838486637264,-4.66892409774628,-4.75441679355599,-5.00477417770351,-5.56965979639598,-0.659564628860048,4.42711270833528,-0.11856731108889,-4.43919600525905,3.39862626009637,0.440625012252645,0.619646401919572,1,0.62512491136959,1
"K07726",4.7821481843347,4.77471136338653,4.86704492447376,4.28004320635619,4.68472595892151,5.20991185697111,2.57068664749788,3.46481574154432,5.48774891742185,5.22290157424164,4.87463330665613,4.96359908658235,2.39738983662496,5.27195843982381,3.43445161446672,4.60200513010273,5.63992669047344,2.18247101200232,3.73931766028817,5.10784084066004,5.19453175295725,3.60733267566309,5.0398247789972,0.087882788354813,1.63057500325207,0.0520094545477751,-4.39648264848776,4.43004746351059,0.467187506704589,0.881829415491722,1,0.811190418037845,1
"K07727",6.66406627195547,6.49477665354262,6.73671129600035,6.33333984484248,6.59218255119691,6.99755242444661,1.84089395490711,5.79549763333996,7.48974754626167,7.29968215584125,5.34781591496581,7.10700777767474,5.83167127695109,7.71959659587803,6.80378116785551,6.9306374681749,6.82651715097848,3.73268418767906,4.4615275371232,6.69697156943618,6.90640794688672,4.72753121706797,6.63676694135849,-0.0570180514313954,1.9761339705276,-0.0310133655938922,-5.64010721834238,5.70539606213115,0.48750000254472,0.903669627300136,1,0.959335978939791,1
"K07729",5.5232582814232,5.62934889665891,5.36991782589217,5.64173171426019,5.66033600441129,5.71024161755739,0.51998881762984,5.14326398879807,6.29439246758772,6.49350436044544,4.21276219238656,6.09046806608438,4.89688315347348,6.34258668783165,4.99080821661978,5.79189322075263,6.0494803316249,2.33417880535449,3.51632215873751,5.43251202598143,5.30507563944305,3.74866834116501,5.78864102299889,-0.232080819410251,1.66885381683544,-0.0942718437746902,-6.10141941656092,5.66661572282612,0.439062512584682,0.846119663543139,1,0.635886655913746,1
"K07733",-4.41631184031621,-4.47933392943336,-4.38721115321171,-4.04572360843854,-5.41836777627771,-4.19906414146261,-0.838185795099901,-4.8984572825673,-4.53781337157846,-5.0606498961567,-5.27724229291421,-5.45999186741981,-4.90008412117866,-3.83517786796272,-4.51426553408905,-4.54385263840523,-4.27015893676051,-2.83163236541245,-4.55550294541623,-4.61122941376659,-4.88622329520593,-5.34740658354611,-5.70405580981338,-0.106067732315516,4.26694215637395,-0.0200192587146427,-3.2361236415078,3.66948534153672,0.489859596441259,0.75253357112057,1,0.753151453809349,1
"K07735",3.52731899368358,3.31608635267758,3.61701778101032,3.56870434503108,4.14223868819516,2.14343665514319,1.56175579862799,4.18992474647104,1.69361822592093,3.12683031557166,4.21350073203789,2.27347019663878,5.09957615168399,3.34201881593286,4.61333594138322,3.78764842376942,1.73495112699766,5.15981457670653,4.4197078574423,1.72253917120778,2.45301669929514,5.45377526239022,3.39154654076291,0.427232316645251,2.00248662259217,0.228712091710951,-2.38374601164706,4.09787778347854,0.407812519415594,0.491113861917412,1,0.443776436895148,1
"K07736",2.490512261671,2.8833359670032,2.14641892268351,2.3321263995688,3.58254428216749,4.2815933628673,-0.380189493732586,-0.105757695172869,3.24980551948029,3.26080381174742,3.50818043964765,2.35932035892462,0.507720636464725,-0.426356337352022,-3.98935932812642,2.34449436024033,4.30501046500145,1.55889814665906,1.71721467690026,4.05725145866418,4.37423551175111,1.80942982381169,3.70866747980524,0.0611624584091066,2.78164889175199,0.0154741146384152,-6.23491366953666,4.48293166039655,0.492187501589844,0.743261934971578,1,0.881002765133473,1
"K07738",3.60784750689158,3.71717494042623,3.47487198021641,2.98487432436917,4.08203485140223,4.58657317944809,0.891843683276002,2.59622377411977,3.82091908270178,3.91776239222504,4.01913048553167,3.66527868973627,2.31163530518123,2.05949306592945,1.97157172881083,3.60962730703798,4.10134074546592,2.19287215578067,3.30950702510233,4.08846197097195,4.22185019898456,3.01878588752324,3.96393312390278,-0.0916075314568303,1.47260753492942,-0.0612577932349209,-4.74429734313983,4.26423584174339,0.471875005740203,0.923148888587185,1,0.854215069470004,1
"K07740",-4.52001680021162,-4.38390237494321,-4.66067618415582,-3.58939195119839,-5.38371769468162,-4.44875637716618,-0.0935113532077061,-4.52460718153513,-4.48491240013794,-5.69586607347554,-4.81071747221807,-4.91482665072438,-5.15729848122638,-4.32959421474263,-4.33413966857933,-5.03380297996392,-4.36919352766013,-6.18787978811545,-4.19846846965716,-4.2952316527977,-4.24399703169705,-5.02531470267258,-4.50113538886867,-0.519064538322038,4.46879192254064,-0.102983949355321,-4.20485582700814,3.42512815535734,0.452418106462437,0.680345157990026,1,0.691700387944099,1
