"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH- VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00052",5.41412612183945,5.52419129484569,5.37394995506195,5.2822743285774,5.65307283933211,4.19098591019046,3.67865290875624,5.54606669679907,4.85690034282411,5.18720281384558,5.70653787596441,5.44381853014483,5.71531302431937,5.29019751563085,5.66054850403512,6.32306541891872,2.96458660497053,5.23328287744415,5.73896838085225,5.70122614538717,6.24948097690764,5.28243636672941,4.56512463171254,-0.191327069673564,1.0964027797221,-0.179226910010162,-5.35658624497598,4.31622986378658,0.393135748140252,0.652449624481892,1,0.442800572105913,1
"K00053",5.97662421392858,6.10588157732351,5.73066811876411,5.69258598165793,6.43355435698076,5.68786905489394,4.30863392194265,5.98718354546611,5.70388677534287,5.42015247023521,6.50276418047552,5.39430657375583,6.62369776810094,5.46403679183097,6.07385389347551,6.553334838718,3.08884722196644,6.1961566557814,6.64218938148931,5.81107013055211,6.15384744160935,5.97820734734515,6.42822221456675,-0.212160672022287,0.918951564989628,-0.179511679516217,-5.57881959033178,5.70876216580297,0.394695810180191,0.878472936259065,1,0.388947111325207,1
"K00055",-4.99682059760585,-4.627620793518,-5.39203866471881,-5.61864693355782,-4.63913138877512,-4.10346689775336,-6.88606563356679,-5.45542371815969,-5.882047499255,-5.5732575270109,-5.50315365638971,-5.4654291661577,-4.29728688623283,-4.49382051279019,-2.14616639786226,-4.83138523527251,-9.87714250646391,-4.17173106741332,-4.04554897329387,-5.02912881053227,-4.84316363408573,-4.57293445747808,-4.83728392191698,-0.673725790219194,4.71928756168763,-0.123174965750795,-4.36879035186294,4.2288189060281,0.426562515270299,0.634864415109469,0.990695157344063,0.588768514283704,0.996581909523068
"K00057",5.2665281130813,5.24617444317529,5.289427918836,5.39150306809175,5.51196124105409,4.46107752861981,3.57157021076608,5.59727225841561,4.44223061161983,4.35872002220567,5.59044904662601,5.20829808805472,5.46599734659176,5.121909645781,6.00282291791999,5.86978091414209,2.9758244589865,5.20967645146634,5.2332193524748,5.69663600263696,5.50689366203444,4.80472682040284,3.72660946524105,-0.163298205930837,1.13187702211402,-0.120560682860983,-5.36525040335713,4.24301662470278,0.45000001027527,0.891400148136856,1,0.668461376085215,1
"K00058",4.0631353037953,4.5221550702732,3.71378737049322,3.71705230261454,3.61763778752933,4.18988316005668,2.04007316422954,3.42558490631387,3.50337282010898,3.56886758898824,3.81299510983009,4.57972152658835,5.37265475488512,4.14061005996781,3.99576970253324,4.99439192937365,1.72478243410266,4.96474472256073,5.64345331982853,4.01991957254312,4.71863634986902,5.58362010105776,4.31988240971798,-0.659691904779026,1.36929069148915,-0.507736026787434,-7.51021845454535,3.80169465456093,0.239062572958185,0.190278572201307,1,0.050791567662214,1
"K00059",7.06663709354233,6.45178733356942,7.28537055405715,7.61182602234691,7.28140153663731,7.28725633621366,5.76447885047227,8.49091411148277,7.48811775544266,7.5042159518149,7.03684400345197,6.82774927616827,6.33679121739769,6.34588405603034,7.12341283773708,7.17581764286634,4.09065413871995,5.7162862146054,6.39321155178386,6.47932323066139,7.22277075745286,5.78210543257957,7.17365949694944,0.647118622132801,1.20523666854804,0.559140262690054,-1.66324237231288,9.17611645193621,0.21216857404983,0.0525888828874777,0.455584404911276,0.0427426917123125,0.395257684242978
"K00060",2.09695925885826,2.59220665060306,1.3620106305667,0.011126144146246,-0.0466233469014625,1.54335003230725,0.717989159360735,1.57973638737777,1.31758458857677,1.95988578109223,2.20590185173651,2.4886667601462,0.951562723141958,-3.35936690524279,1.98500137591196,2.62353573336028,2.46690676509033,3.80802227926767,3.76697493526273,2.38721469400884,3.5209568031113,4.05167965113261,2.39056277667757,-1.54446717400388,1.50861086123356,-0.841544470752264,-8.51992801156469,5.95425455396626,0.171875117254092,0.260798346619415,1,0.00874311930329731,0.998933661153088
"K00065",-1.46374700415867,-0.856191831452525,-2.25293429926091,-2.26029573779022,0.403248138574629,-3.91144328283331,-0.561261166446384,-5.35883099023103,-1.51460814078617,-2.30835428734844,-5.56497600727103,-5.16216146176497,0.447341852521406,-3.57210161590464,-1.06238247862517,0.418856720266643,1.77613773520436,0.619617709621435,-3.89191985070211,-1.82745196830844,-0.954414993079062,0.0704259737095949,-3.9572116627433,-1.23780355772591,4.04857098501119,-0.267264445851019,-4.36893658846725,3.01438482925293,0.351562533118549,0.379474612489148,1,0.292619894617766,1
"K00067",5.92266047483,5.44040135990754,6.23042872608718,6.73518366543381,6.27601159322045,6.87944580440794,5.14079778672953,7.85843518312992,6.20014673819128,6.96090991528225,5.98947884928869,5.98527469758779,5.14248037978732,5.2589977042539,6.05995835743035,5.77306029539677,2.54836698807548,5.01107666301145,4.89703702652413,5.54974099960234,6.09092558386645,4.3149773452686,5.85792691705104,0.984327868501374,1.18207435761587,0.745541732686384,-1.25385855970511,10.21576359446,0.156006372717387,0.0144159353442816,0.39893902165555,0.00941909532031436,0.361304781320349
"K00068",-1.6208385170756,-2.93425637843353,-0.837145166163708,0.01929255352246,-4.66647449945104,1.06741831107825,-0.149244671208105,-1.56103034343164,-0.653043189078373,-5.66374365235027,-2.21652113758294,-0.977721283105202,-0.272644522454435,-3.64427531750523,-5.46523754597395,-4.48550463402173,2.33571633213435,-4.43834861848928,-1.14951976502992,0.234269388394576,-5.3259103514277,-4.5523490213909,-2.14395483572523,1.49078368272048,4.48664684409235,0.303109942042708,-3.03595113944622,7.51681360283446,0.34945401173625,0.337382387477235,0.880788492798934,0.280168759742579,0.859193548490607
