"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00052",5.25590349991904,5.24575782806831,5.36428590276109,5.17283737907461,5.57241039133509,4.10786542231677,3.55104195797119,5.42209548591507,4.73512038345545,5.07047530880211,5.5914632419236,5.32411520837401,5.60907892050919,5.88987189083152,5.96967671212612,5.95501488449677,2.40749928967319,4.93509789738262,5.82186726620637,4.90738068562985,5.60541775046016,5.09763150040042,3.29545782589627,0.237847800381246,1.17783079647535,0.14429434104668,-6.20819173028786,5.3833705929504,0.409375019063967,0.941248474986716,1,0.509824021276711,1
"K00053",5.62228758947447,5.61436503859379,5.72725588155698,5.57444974839294,6.32214958965634,5.59180483339799,4.16443968614603,5.85958497484937,5.58948392711055,5.29604203443257,6.38184964105692,5.26919513468203,6.52824560017311,5.94950449146154,6.65899196516708,6.55120110334456,3.26569098905051,5.23594699672484,6.41056652831471,5.27929724869706,6.01651477492941,5.4809247554476,3.80104938155238,0.00534648698582796,1.24689304846757,0.0042971078507494,-5.4755860330236,4.63519364199569,0.495312500953757,0.657874182510258,1,0.93696179014484,1
"K00054",-5.17388711037264,-5.35910181293117,-5.00057220681897,-5.04044432852266,-4.40556087562003,-4.51521035829522,-7.28118085427394,-5.38476424392747,-5.22239545511867,-5.05326391097092,-5.77305957172772,-5.62878859654829,-5.1917843653186,-5.32564547879015,-5.16445729341019,-5.05150022375032,-4.13959184631074,-4.91282270620865,-5.35063490065768,-5.45966866694842,-4.80319034201418,-4.68046904951206,-6.67437449838127,0.457111948144531,4.06451891039346,0.10022314019488,-2.80602540225133,4.56516121357775,0.447737920233054,0.680566185816452,1,0.659238147204962,0.999905322763537
"K00055",-5.25424523980176,-5.48330394277196,-4.97475212280716,-5.06453491529178,-4.49486852515957,-4.89412683791273,-7.03833014680543,-6.05622114077085,-5.53676952962148,-6.31208203041353,-5.08540658981791,-5.4139521593806,-4.38772892304765,-4.95077469569816,-5.02576178877643,-5.59391225102807,-4.20574614897621,-6.04736094278927,-5.37680784572419,-6.11251835762642,-5.2561127566168,-1.58614810143243,-6.51110896250205,0.498890574584259,4.17647871161905,0.105657597785309,-4.16563407817351,4.17699546001359,0.437500012917482,0.685174766619627,1,0.657233899034402,1
"K00057",5.26290220179288,5.17194238742389,5.36304522771344,5.27122528776572,5.41243570979814,4.36979098685352,3.41156869493897,5.47485176354566,4.31369670406664,4.25298899125237,5.48267703387009,5.10415024103979,5.37920930696484,5.62359464328284,5.56702885200174,5.32822611206909,2.95394189192735,5.000778936833,5.42417308243316,4.800553028461,5.53459197931278,5.75915954882747,4.29637277092689,0.220318737605375,1.05495170688676,0.201132565617562,-5.26362330862849,6.43116607273636,0.354687532291287,0.617029390667633,1,0.326844256749443,1
"K00058",3.66003699344601,3.60537911864218,3.86692535226161,3.61265071111447,3.49940524024079,4.07056613985482,1.88270426382342,3.33314449889183,3.361827688149,3.47539525608833,3.73851213028837,4.47228932342799,5.279568630673,5.01835667180769,4.62913575941182,3.68729240466817,2.15028812163374,3.39730230794274,4.12716318892395,2.21486770669886,5.41267057762034,4.07081601519912,2.61710601536824,0.147531308293959,1.50639832975914,0.0990566316944663,-4.91598732591794,4.74581187006366,0.465625007026818,0.898734362401861,1,0.729290675945572,1
"K00059",7.09161674212772,7.18428208149185,6.91424272749467,7.48503442943167,7.17914484282718,7.18636091501328,5.60819244705927,8.36389955364858,7.36293818888704,7.38299507841728,6.92671080201572,6.71651322631094,6.24028102213753,7.10223037352991,7.09944863932426,7.21375985417835,5.4879488704151,6.74321883656277,7.22363746254337,6.11681440331894,7.19560976005654,6.111780224655,4.94149009720369,-0.302185362304535,1.13100937891139,-0.305127419955667,-9.77393344864539,2.76732643191696,0.296875049494327,0.155568042924083,1,0.13208865679599,0.999581340841123
"K00060",1.16833694204563,1.27061991714126,0.952523237505895,-0.119037841797612,-0.112090448984508,1.40638465104662,0.559618584880861,1.42150701674314,1.15524318037514,1.8816154572044,2.05887663934134,2.41050185657792,0.851258274146067,2.13080172188141,1.79173893588154,1.4135610988015,-0.0950561491980535,0.194380041140537,-1.26780657073599,0.233501856924244,3.56883909735762,0.400888809530606,1.29528009341271,-0.290690040725305,1.62985588250999,-0.16037624357481,-4.97887458544259,3.57072401809235,0.423437515950666,0.710150262249489,1,0.663498665131308,1
"K00065",-2.04694699200907,-2.22960537792966,-1.90628652244193,-2.27337661351796,0.404699818052711,-4.56056732489738,-0.676092357781866,-6.03505723101733,-1.67532442545226,-2.22541614919654,-5.63754807770255,-5.17034483444541,0.29905240635413,-0.92945914543275,-4.95327213515865,-2.75651523734309,-0.765521061564257,-1.65022325385755,-1.56166834173492,-3.49716607574172,-2.48982440622405,-4.79592217035172,-0.551313130112755,0.0430485739640467,3.62774894385662,0.00893891982272184,-3.41296011125006,5.09686596106724,0.492187501589844,0.681995371587288,1,0.788900800244647,1
"K00067",5.94332282462611,6.11233681679751,5.83144620771054,6.61745093916382,6.16481835160279,6.80297005492351,4.99745279037033,7.73397626959972,6.06550800939124,6.84125219211291,5.86193748136558,5.87256465260719,5.03404641986392,6.00205725085336,5.44986110763892,5.83385978932532,4.86138570768538,5.83694742912736,6.00357756666167,5.33846649867096,6.84433816533046,6.33724341140492,4.72626250012626,-0.456543074982004,1.02545287558819,-0.421168759296355,-6.02518828367234,2.66192981023989,0.332293330056948,0.177200165660232,1,0.190629634490896,0.999847141652275
