"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K02874: RP-L14; MRPL14; rplN",5.02516507655636,5.0501577966339,4.88535562620148,5.12838994911014,5.07988922831795,5.4246566059936,3.50982358869686,4.66343682328094,5.52111814369468,4.29981642225025,5.26982064358333,4.55654209224868,2.9610686313234,5.72526300644027,5.86992033603779,4.88295095399816,5.59146074828122,4.55920716796022,4.4166429762074,4.95457686053662,5.02481957348794,5.02232396587077,5.21748961087467,-0.342323876399722,0.931808517716457,-0.326888758873018,-6.10369823417641,1.87842073855267,0.356250031881158,0.146852432381676,1,0.270589909799952,1
"K02876: RP-L15; MRPL15; rplO",5.10389966633099,5.1344160678071,5.05261499164274,5.02727782644064,5.3184847046497,5.23189936010519,4.04019899224162,5.05638597421376,5.36135762053397,4.20144625130144,5.82920803373193,4.9279464994609,3.19704541305594,5.34005379789424,6.19670145496633,5.07251210810028,5.72758825831629,4.9163039291545,4.98154069213149,5.07220512117773,5.10113947586921,5.57041244080211,4.92199037901105,-0.255077843589629,0.864667916454803,-0.319078332890435,-7.19891923817542,2.14062206807579,0.360374445689969,0.122638141144598,1,0.3152102468932,1
"K02878: RP-L16; MRPL16; rplP",5.26669074267816,5.28169092858661,5.20942600078807,5.34302831111862,5.46091246882839,5.59483255118954,3.63009918373103,4.74371401975543,5.78493933412293,3.97554360398073,5.93554091848609,5.02806773642571,3.0665197245093,5.36451183852901,5.7005654504084,5.29258430292543,5.28249844757262,5.07096400537366,5.12764528589555,5.05354497531628,5.07130948039792,5.44752954781578,5.60176620187642,-0.170999897573161,0.842664794794072,-0.161685723791615,-7.75750524548844,2.76760874956255,0.425897051248237,0.202589824266091,1,0.594569915862002,1
"K02879: RP-L17; MRPL17; rplQ",4.81589931141908,4.85947472186029,4.78515271893273,4.87715589789146,4.74874783462696,4.81727995931946,3.7297494122888,5.07997499444911,5.02695267510979,4.08321289159397,5.43808381724916,4.68762812893389,3.21637904135381,4.03204562101354,4.70747130182867,5.10339130667143,4.37901796564702,5.11079797704703,4.78901630020881,4.71574641399527,4.85984432843018,5.63061324132602,5.04635556240204,-0.14906074375687,0.798346275584854,-0.184355117120348,-5.25885241521425,2.83817331851601,0.401562520834689,0.334924704160108,1,0.479096585496547,1
"K02881: RP-L18; MRPL18; rplR",4.44609423209558,4.50101295379574,4.38042046189324,4.58962066999359,4.44149718835519,4.45638213425797,3.62815518055618,4.36808711255348,4.82051707660989,3.70799726409475,5.3450451021392,4.19011472058234,2.66704844482939,4.17803786735531,5.24389239897718,4.48155746517104,4.37952291556156,4.48310369945249,4.18241271332976,4.39012142002673,4.55231774534312,5.18327835925441,4.90160351937546,-0.27962275424282,0.799488860544672,-0.320446943992621,-7.53467981102077,2.29748087102048,0.371294879749891,0.19472353579099,1,0.306473385844032,1
"K02884: RP-L19; MRPL19; rplS",4.11631619057312,3.9668487756669,4.23969177756188,4.08327158112864,4.18860332228893,4.38091354800074,3.33450836158803,4.37661180473357,4.64489193502222,3.67334331429636,5.10966939126602,4.41152252671993,2.87650940755523,3.51835958402904,4.69953350840869,3.87958054998841,3.51284612831808,4.30659532260819,3.97699508031338,3.75809992990557,3.8160447614799,4.89170884312622,4.16659295058757,0.150087321694649,0.84272665293549,0.164423484249719,-5.1079484080592,3.9420472550261,0.436817485721281,0.818306985930078,1,0.666000613647189,1
"K02886: RP-L2; MRPL2; rplB",6.53089315119926,6.53159373177277,6.48074194028982,6.6499179827062,6.90704545355605,7.08358140174567,5.28354855268444,6.31158358053887,7.20008556998366,5.66077847818781,7.20727653581463,5.95131991379306,4.39032996238437,6.6700353843046,7.50060678723497,6.46998037698779,7.28048213777453,6.13039798456457,5.81020381671147,6.33537537855428,6.6655361420995,6.59639239263279,6.12158394617382,-0.166041695482633,1.07233474452279,-0.125338779779497,-6.27201569538881,2.54720586599386,0.44843751060317,0.404193171442603,1,0.602772203609084,1
"K02887: RP-L20; MRPL20; rplT",4.85497114354614,4.83501789406249,4.88257992014011,4.85532385335526,5.00335290591005,5.44679641733829,3.87649101480162,4.6455100753902,5.40151449963829,3.8099282015032,5.79902229899647,4.98566825860738,3.02410048975965,4.96614906637512,5.91266710547036,4.63087187341986,5.04946905382248,4.67655684030591,4.75419217247245,4.67225294220631,4.89012909542103,5.13704846984514,4.73447999661658,-0.0542131095507621,0.927681078491443,-0.0540874992260278,-7.2362836708807,3.84151855097795,0.467187506704589,0.420098227225801,1,0.813927896793609,1
"K02888: RP-L21; MRPL21; rplU",4.17525695598493,4.19020064535432,4.16695533416774,4.35882311610974,4.23207407359906,4.35593878235762,3.16417547069308,4.04534059275438,4.46776715474344,3.26529054586537,5.12882756543253,4.08349544187561,2.76799237616273,4.00363978628485,4.6476419837429,4.42754419075733,3.51678589936468,4.25604415195666,4.03178792046327,3.71312369879035,3.71695392956755,4.63334526311275,4.32235601709453,-0.082047364233004,0.890839858663964,-0.0850836623336077,-4.588726040624,3.57260708236698,0.450858044385367,0.605081480006845,1,0.702739356232003,1
"K02890: RP-L22; MRPL22; rplV",5.06849990325186,5.11877921406147,4.93308059648023,5.11816420248834,5.08394839458585,5.51646635759463,3.8041892493679,4.79544662584089,5.24103928607521,4.18512251629537,5.88734968885225,4.49675790083636,3.06830724125004,5.12414015589895,5.50892748574734,5.06174993329167,5.33463054324303,5.00891707030301,4.49158550714475,4.86310078474777,5.03503536384217,5.2923772229185,5.23061964529663,-0.25146556274725,0.828381554083216,-0.26749630827473,-6.53360999277897,2.01287089415276,0.375000027126709,0.218060837869374,1,0.344501413350581,1
"K02892: RP-L23; MRPL23; rplW",4.61890832890511,4.60044406630378,4.634819730558,4.73640337398444,5.06840481444734,5.14743566394338,3.32271881351663,4.51672902663776,5.22962231320786,3.55811196781784,5.26471417028129,4.07081222002569,2.16844003490489,5.07526906542547,5.59765220270347,4.33195811267674,4.84731573127862,4.21037562988213,4.13545880518353,4.47060671879193,4.75368513767527,4.72784947344203,4.3579527075268,-0.128902978002942,1.0496569881023,-0.119074623499061,-7.01855009759611,2.78033420545666,0.460937507996083,0.354436069416304,1,0.736519636033471,1
"K02895: RP-L24; MRPL24; rplX",3.95655593641213,4.06569328959047,3.81508605051283,4.38279194389493,4.00375088049713,4.16439711666298,2.77418882562205,3.59944225284135,3.732481439878,3.02662555603354,4.61585358545083,3.89175375216849,2.35244583574112,3.96572877274196,4.49620681186999,4.27070294709376,3.58549794128592,4.24288868863129,3.57810429250868,3.30537927972896,4.02801337336662,4.48287900068552,4.01870369470798,-0.253871727718294,0.871735603791932,-0.284565907402422,-5.20648777872999,2.14900374249168,0.368174755722675,0.238263749161,1,0.328567560052177,1
"K02897: RP-L25; rplY",4.42916107250986,4.32499033081971,4.43414631180102,4.36374870648297,2.70777997456639,4.36438463710458,4.4368496690191,5.13920318366481,5.20552902607016,3.37294401941233,6.15465914851379,4.77125307006902,3.68686704230973,3.96037362815701,5.5743455131428,4.6158932101386,3.07067493378215,5.41886982059536,4.80158684411916,2.32201092876383,2.9457491452486,5.91351331311557,3.66229464913594,0.183206472958971,1.69476718301726,0.108985167062097,-3.14649192183382,3.91554154661737,0.467187506704589,0.717265180975721,1,0.840520994582043,1
"K02899: RP-L27; MRPL27; rpmA",4.11731484588067,4.15346781118336,4.04605552274286,4.22060065621694,4.61243430022998,4.71142309958748,2.82511856696661,3.66794831702025,4.95391064402392,3.03367200528404,4.54952708629585,3.90790168491504,2.43837007584509,4.44232331342599,5.59690161460375,3.86435849887686,4.64238373897962,3.84743494941142,3.60714197725352,4.37806891097521,4.38335287809875,4.01088625679733,3.9005330460202,-0.21342937864087,1.02242111115081,-0.210218159480245,-5.97336970265248,2.41812514442556,0.421875016292319,0.289564348352588,1,0.554594556469073,1
