"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH- VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00018: hprA",4.8244207453585,5.07986926186508,4.62252935952554,4.74558213449731,5.68843047348177,3.8738521603371,3.11304999299938,5.32551022914823,4.03864932618178,4.0142787712782,5.46216711172479,4.49294316681869,5.06012467792353,4.94709078039244,5.27184318676566,5.90825961103588,1.57570712172579,2.75387708507163,5.25042839883389,5.27628304155604,5.22484967911285,4.04711292156029,3.36924792856583,0.0554501946053003,1.6095229857777,0.0308937148471772,-3.92603084414037,5.52086207469731,0.489859596441259,0.690111667979925,1,0.932177946859642,1
"K00020: HIBADH; mmsB",1.88963433076838,2.01508780348221,1.81638960311965,1.88143445994455,2.3366183247962,1.44764534594911,1.73839733453203,-0.283766120107863,0.827358255956879,1.06968744817392,2.5447893406499,2.28500557403145,3.74854669720669,0.447148435287451,2.00444976996971,3.55602894025746,3.53483650481397,1.92222132543332,1.53094008784084,0.894311666561853,0.324718268657083,2.94666968502172,2.87664827336317,-0.283856366114713,1.7453896683825,-0.16210472376946,-4.02055165377164,2.96666898489295,0.436817485721281,0.646083683340372,1,0.635809188876139,1
"K00024: mdh",4.75784563558866,3.76459474357712,5.22246851862313,6.49700884923393,4.61397836891767,6.34243311455605,4.38468832085453,7.15613261287555,5.20015695741722,6.34346624370949,4.85736731476079,5.25836341327286,2.63187495014367,3.34061456471395,4.49743525982807,2.61615213321348,0.596498383209772,5.1792103327222,3.52704520136952,3.8227634982753,5.25734455103794,3.53586176620514,5.60686602435831,1.49932240277096,1.98151415780836,0.70058401392428,-1.61338132222708,8.66769976887969,0.232812576086263,0.0266889006664012,0.400855343052044,0.0398678696497001,0.387172933002948
"K00027: ME2; sfcA; maeA",5.09871675072547,5.35056894850587,4.89786437474157,4.74844683163425,5.83697587051807,2.80806384702348,3.04715103628438,5.22333355200026,4.75053873758728,4.60775190034462,5.96236716083029,4.99938789270968,5.68769458523573,4.96367823871713,6.144517465737,6.54079611792171,1.88092179370424,2.49109095087865,5.61539406816584,5.51295001627938,5.58244857025604,5.17383634336448,3.88833244772179,-0.235705614732209,1.83554049046714,-0.107581814251778,-5.75556339758955,6.23251229637427,0.453978168540086,0.964991644615869,1,0.671555152471368,1
"K00029: E1.1.1.40; maeB",5.326164322716,5.05064027857245,5.87641390853862,7.01595469668317,5.45849200738658,7.03617323247726,4.63628358237266,7.27251447777235,5.8771387807812,6.55610293618216,4.45503745441121,5.87388684138615,3.34592708262305,5.15678529940157,5.14396079862602,3.90529969848736,3.7242731919687,6.04095048948661,4.97584970696132,4.47110380273224,5.50357783710615,4.85453986444499,5.52731611097912,0.936265486316555,1.42583020280023,0.535792766824839,-2.02537575500037,7.16971559823779,0.301092091608169,0.103404325795348,0.649383539060935,0.122355718488168,0.679759159497306
"K00030: IDH3",-1.67672288952999,-2.24905403342649,-1.25567842807212,-0.210626891649603,0.641676735714359,0.250372073240522,-3.77898476446854,-1.74427280172351,-1.53911049030233,-1.72436049694726,-2.04325578001655,-5.44730858059977,1.46192963018536,0.950244879216113,-1.52210676117282,-1.60283016454494,-6.65579492062093,-4.58759468675235,-0.430818044370969,-0.301998017416702,-4.96812192656579,-5.05837805871167,-4.54406763132028,1.29045866676008,3.76515091838285,0.312859821385657,-2.98849417973878,5.97309760692716,0.348437533955421,0.281556460174923,0.882700705246698,0.325112750059538,0.931732167796978
"K00031: IDH1; IDH2; icd",5.27562947531169,5.56373110764905,5.18518894394394,5.36080049914005,4.9462429615486,5.26316669011142,3.57306044330926,5.46700612273481,4.28777431148944,4.53019453829786,5.40859712942535,5.12994577655614,5.29027651188239,4.91083754440087,5.72641423688439,6.12032184883679,2.4298910404356,5.45464274744094,5.1130925717197,5.76108958831918,5.62810958427088,5.78346779172927,4.15504582289999,-0.385125221298272,0.989240146780226,-0.28685865963398,-7.20678428067178,6.89744499271937,0.318252772582358,0.653760946639443,1,0.170399405161402,1
"K00033: PGD; gnd; gntZ",2.75777332631627,3.0007437509323,2.61561552394279,3.93894876279243,2.16435273694742,5.0635557662517,2.62907126967785,4.52606690618438,2.1363252662398,2.56544889477013,-0.191175179841576,3.02775141483985,1.72810838548259,3.07697996281368,2.01220779538656,0.488505671437734,1.36046658312688,4.51009366313623,3.61270844618649,2.13801800967201,3.24287273193662,3.77811882726703,2.98232063970234,-0.0157787202924817,2.00279195046446,-0.0104899156388443,-3.54815767470881,4.01828826768751,0.496875000635807,0.922791663053013,1,0.935507676340687,1
"K00036: G6PD; zwf",2.04587642801696,1.77322832232106,2.62412246960768,3.71394457307867,0.266799483872681,4.77928227229677,2.49526113229716,4.17078144586863,1.42003343863942,2.84950394328348,0.579905232421165,3.18657158808166,0.493085140000465,2.22949349832731,1.09953286276709,0.717720508792356,1.67639624712222,4.02632330230278,1.12080530618296,1.91391938221337,2.63675601830234,2.50211268870521,1.42564073648528,0.46151724525573,1.95322787871672,0.221500224729356,-3.51363590014566,4.71264033563414,0.396875021912972,0.483476813779739,0.999217538613276,0.538548815735348,0.997441249577062
"K00040: uxuB",-3.3932384775599,-3.695824659562,-2.96220117746292,-5.34339599585679,-4.39431869848569,-4.71858641730056,1.37980803994433,-5.65199468368901,-0.00664453984476054,-1.27113916366077,-2.03636818415204,-4.95951255203016,-4.22514348708231,-4.028275660273,-2.12072865112401,-4.54243082742346,3.98832598638193,-4.80328802741339,-3.99615746703856,-4.71993065053862,-5.36580843366893,-4.29772691727627,-4.08972441123265,0.785858360047596,5.39580738177407,0.143616609865399,-4.31326200804417,5.10004942252884,0.435937513251067,0.745558144445061,0.987904372644524,0.653791605550023,0.958378543074044
"K00041: uxaB",5.0775553627989,4.60580130552944,5.16888526998182,5.53670959533287,5.79776979575274,3.33556840986455,3.54016616273398,5.53556577925961,4.4706700002567,4.21699658639773,5.39321420612727,5.16689458022888,5.17444215416915,3.98872945344112,5.3916485195276,6.33036538053754,2.83402863498642,3.41643911260684,5.15455669889468,5.08346926566257,5.77930875724567,3.57457849993438,3.270976602303,0.289792176712394,1.69903957618245,0.179003699399675,-3.95741196796368,5.16542637032617,0.404056182449325,0.487611897478476,1,0.504487168211046,1
"K00042: garR; glxR",0.852803942761922,1.23779847818402,0.505969135370927,-0.495806374138033,0.780234784797356,0.160378104814912,0.436850888730662,-0.577192821504102,0.437275362469469,0.286221874378818,1.8181054189846,0.899401110786284,3.45790110575503,-0.104328106390627,1.20106789484597,3.11214795183618,3.1835323559514,1.06699707930731,1.0429312862687,0.553005795137018,-0.184474032517826,1.83856672917129,1.61911962585861,-0.707679821275775,1.74852311104253,-0.363272699900632,-6.2952817156897,2.86156067973045,0.338533577902395,0.334324663201564,1,0.265334414037974,1
"K00046: idnO",6.17463943851897,5.42996918734693,6.80570288189425,7.06412678161564,6.48566891906022,7.38573001211094,5.56046346281505,8.33945716755024,7.36315294855628,7.32846730051464,6.30444995872286,6.15002818704769,4.92273038619378,5.69921209344869,6.40343357175208,5.51798988930764,2.17343393683632,5.22156640038679,5.20150696920615,5.32996361315171,6.21308700757516,4.05441111871917,7.26627833350517,1.17816313295162,1.69069143828367,0.735760340531121,-1.4030724505703,9.97850326403903,0.193447837530273,0.0216472664322106,0.398563206841479,0.0212350174013293,0.36187339546641
"K00048: fucO",2.17500497456818,2.08977497360671,2.34261944745851,2.57523216322582,2.25418662038114,3.49214991282577,1.57724285696286,3.03954572256402,1.08360484974518,1.07677634158002,2.52452434297302,2.70274267321057,1.84957373686205,3.00103153342157,4.15258590554398,1.06209875553745,2.13787194809813,2.94088719169563,1.59019483238357,2.94471809509127,0.293293928368266,1.15889950668568,1.56175013255736,0.126434604220882,1.5399358882378,0.0808572288062817,-3.26754685558235,3.83753947506924,0.464898603098226,0.76491342644896,1,0.785192700101756,1
"K00052: leuB; IMDH",5.4157844465715,5.49804648578184,5.36936419628333,5.29197287010416,5.64261742944028,4.19310876033036,3.689505735295,5.52576522626122,4.85140827407557,5.18756153688331,5.70659390438364,5.44593997655201,5.71288999894321,5.29407613266702,5.65674268273114,6.32924447371653,2.972405994943,5.23083394736953,5.73360216070794,5.70853012116744,6.22578117977929,5.28615252360628,4.58681856905847,-0.188645153150159,1.04724007721011,-0.169189295502363,-6.53452404933947,4.92157588146397,0.403125020477975,0.64836014402499,1,0.439315654836649,1
"K00053: ilvC",5.97907016828523,6.10197298728697,5.73268644897115,5.67349601214153,6.42386619541331,5.69466154462984,4.30889853050522,5.98550939535323,5.71157048570905,5.40894082289015,6.49274773188498,5.39027578851622,6.63545779749933,5.48960785889639,6.07979943832015,6.54548133356663,3.08809798288538,6.18568446180906,6.63455701526429,5.80911976645597,6.14289394405936,5.97760834036785,6.42910215440812,-0.21727621692453,0.875882825732883,-0.16977681107216,-6.45431276924494,5.68376483534065,0.393750022638884,0.870777249390372,1,0.38399353403949,1
"K00055: E1.1.1.90",-4.89605742531578,-4.47739308707066,-5.21934349254049,-4.80906262668337,-4.32790731986813,-4.34980310247206,-6.96531712906309,-5.4172830392802,-5.73214388597281,-5.35900737945319,-5.37594897524606,-4.89608116441987,-4.4824628333101,-3.36978880638971,-1.91433968190509,-4.48007819159078,-9.9288141405661,-4.26125278835644,-4.20541408289172,-4.51189008822684,-5.25185474762198,-5.15064925133411,-4.46962617061043,-0.663361356394061,4.4929265519883,-0.140519350499587,-5.16319818421453,3.54168227640632,0.435257423651159,0.663829437955166,0.996832844328752,0.59112220983351,0.998759117881602
"K00057: gpsA",5.26978419595508,5.25375654232528,5.28570168490339,5.37958966242723,5.5022151984515,4.48661480430529,3.58488213824392,5.5887463130073,4.45358161385173,4.35852650879518,5.59624939310281,5.21379555357749,5.48709007308251,5.12273124643902,6.01389882113038,5.85972897161699,2.97635464477769,5.20689588792296,5.25737760656071,5.70277948960068,5.48943742837113,4.78885990395897,3.7076410081707,-0.137197848347595,1.14251581232695,-0.0899989716262913,-4.50787436786917,4.93096814655016,0.4492979823089,0.892712315639233,1,0.680156107920717,1
"K00058: serA; PHGDH",4.06960962259576,4.53237675905823,3.69847032450713,3.71799033519707,3.63000886010748,4.19904747053409,2.02057404973019,3.47354203821333,3.49936840298063,3.58491443339706,3.82962742707657,4.6054046698898,5.38205502775172,4.13410448598681,4.00926958077084,4.9791695927874,1.72911013559096,4.96989430671795,5.66600690153836,3.99605715282646,4.70841198302001,5.5706217869941,4.30384177592049,-0.696649140898181,1.39810197503486,-0.486216676588507,-8.05440060673281,3.17420074649082,0.244929867123359,0.191878958793994,1,0.0503163632033601,1
"K00059: fabG; OAR1",7.0762753312838,6.44470365440945,7.28703980116499,7.60286103098747,7.28017303928288,7.29008262201288,5.76558192040287,8.48327268466066,7.48517458130051,7.50180135025444,7.04463390784004,6.82827985236261,6.34990253026001,6.34376400137643,7.11964401598644,7.16792182781181,4.09311303127411,5.74359448874547,6.37366547715576,6.48639678827524,7.21168899967739,5.77935737060038,7.18330826120248,0.669441780340391,1.20795118477278,0.535545087505205,-1.32781160395713,11.673505751528,0.223437581069721,0.0515328829363984,0.451825705927636,0.0412758922578969,0.390322095857568
