"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae",15.7737314930235,16.3248745722189,15.5556592704978,15.7920200093696,15.3392231017617,16.9606390442944,16.4985629825854,10.3248799369931,17.4211333339834,16.9933581489423,16.137381293386,13.7960846770199,16.6549039663791,15.489262959636,15.5045657814231,19.0279823177871,14.0289155312891,16.9593951153637,10.7294837404379,18.4764532569472,15.3745607079952,15.5154565322248,15.7522529173291,-0.235885644544505,3.08185593740162,-0.0741324374245355,-5.48383584154827,6.96316570603075,0.458658354776321,0.926118007098175,1,0.766490668773951,1
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Schleiferiaceae",-0.299902864673546,-1.08340132366535,0.509427651177015,-2.34820837023232,-2.09329342968493,1.45725421600849,0.461007488962158,-1.86219670402235,-1.95297634142978,-1.98528888203333,-3.11325119631258,1.83763482438287,-3.18300126244457,-0.17104398999127,-2.77125030530172,-2.62745528163217,-3.13901293768647,1.58893560526821,0.61781687050461,-0.0379570901563309,3.41047501432542,2.92034484319333,1.15008508086008,1.59144007861805,4.18309206160546,0.346181900024998,-2.9295112202485,5.21434907952458,0.340625036091881,0.337353213135272,1,0.260634126902509,0.996682750782499
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__TMED113",-2.08915968548105,-1.98788570822705,-2.19724749115786,-2.25665262447753,-1.91213987753786,-1.96014320623575,-2.36522543580728,-1.63677938348109,-1.89889950191455,-2.06395326036847,-2.5920067572273,-0.394597440298396,-2.78510367970384,-1.9016024510035,-2.8615796298184,-2.61524440175186,-2.5347896565427,-2.18572231722445,-1.65163197376527,-2.86969417221231,0.125885672434421,-3.16710140614434,-3.3662729005823,-0.242657569458004,4.03873891429346,-0.0524169994066474,-4.71938802467931,3.97719562976488,0.479687504139417,0.7191167999597,1,0.733054762091624,0.999548813705644
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__UA16",-0.425160058530189,0.249165924429782,-1.15453427736423,0.128875497463424,-2.50199138025333,-0.00776125030288277,1.10955444664768,2.70537157961982,1.28671386782907,1.49306371392111,-0.806930093882428,-2.66838985687016,-3.02815678663961,0.039280591574725,-2.7921411827516,-2.93682739000731,1.38145695101529,-2.1144022878951,0.186645857950158,-2.86574633419685,1.089749103716,-2.29820991010181,-2.81017822275618,-1.18847904751952,3.89958396842906,-0.255343165185121,-6.47932497115073,3.2293365250402,0.346875034377566,0.382910670873873,1,0.352957752386932,1
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__UBA7312",-2.44433786780332,-2.30084539283745,-2.59276362367014,-2.60011700452193,-2.31547581932463,-1.80248377744094,-2.59510104197965,0.0540715431320624,-2.29060660117388,-2.64685896993615,-2.64297108698948,-3.08224867498952,-2.96664564165335,-2.51083254124399,-2.92176203419681,-2.66062125380054,-2.98466803655541,-2.71443518176827,-2.24396531739679,-2.39155517751258,-2.4333634378715,-2.28746731824075,-3.00588102478281,-0.323822251227094,4.31150557213672,-0.0580516856762584,-4.5209718925111,4.35606227721374,0.460937507996083,0.706756048386525,1,0.713127296948408,0.998290143486544
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae",-0.556251228679907,-0.931571808906014,-0.258280727269598,-2.45534195250375,-2.35496393954052,-3.23398892270177e-05,-0.319718699983548,-2.78973989472076,0.791529824319111,0.327402069288359,-0.817510538850353,-2.81919583678952,-2.5367151525697,-2.40371421147044,-0.308498478535384,-0.313502815683172,-0.516859653057942,0.100364490113037,1.33577314741454,-0.114976406653575,-2.43087055397339,-0.0594926970672223,0.13331670083738,0.674638301355717,3.05618806692463,0.171274599999504,-2.69161826247439,6.32530873294112,0.403125020477975,0.508785209269497,1,0.534777794767152,0.998290143486544
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae",-0.385941332443206,-1.60102674108208,0.841582439630926,-2.26821200101226,-2.04063730528982,-2.34255351076744,2.09622353218381,-1.94608362639355,-2.00428139946417,-1.91372720899137,-0.422673331542066,-2.52141389878593,-2.62890376428169,0.764218952142739,-2.5384573320624,-2.36406883229791,2.30260035081009,1.88483409212373,-1.90021580802875,0.869693555686343,0.390058758055874,1.64164680351839,1.33583198051098,2.02375145530036,3.86899859721057,0.498510315617348,-2.54761238665374,6.02896242619006,0.270312559228734,0.178861181338754,0.996672193988538,0.104678264846609,0.992233216667233
"d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae",-2.25211267389471,-2.09325693709621,-2.34356513431122,-2.41673838042853,0.395498463943417,-2.35646085666054,-2.72964412687824,-1.70604973141111,-2.29560126691715,-1.92690458517425,-2.76446760725195,-2.63306469888055,-2.78903680458749,-2.26794427688526,-2.57925799728819,-2.47776336827209,-2.88962577934305,-2.02087691759753,-2.21359597066323,-2.29643898744768,-1.57934342648445,-2.53083658498766,-2.88010305750039,-0.220927056262378,4.03902775243726,-0.0408380523582983,-4.70085788155732,4.31770686683447,0.481250003820066,0.701289452093024,0.995653596455837,0.715581209135292,0.995868156852822
"d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales; f__Rubricoccaceae",-2.29739275834174,-2.09983040903818,-2.53349238190132,-1.92536854014043,-2.10009298537791,-2.019749950593,-3.36534183197809,-2.14763290768338,-2.35787382670785,-2.09983040903818,-0.416947464725848,-2.32354773764507,-2.29933598045384,-2.6383714456786,-2.68628421639584,-3.05801436442663,-2.21887250998133,-2.37072702924241,-2.39048172254817,-2.14199506670181,-1.99799958075375,-2.59643224823055,-3.06262030459617,-0.439315754013979,4.18089896919963,-0.0957961414605614,-3.900040813167,4.01517579568532,0.453125009621297,0.635546126646032,1,0.638831164481803,1
"d__Bacteria; p__Bdellovibrionota; c__Bacteriovoracia; o__Bacteriovoracales; f__Bacteriovoracaceae",-1.8350784232299,-1.80904652676019,-1.89981373339777,-2.27442224227164,0.166026124419496,-1.59854996491256,-3.04328217723733,-2.2998763262404,-2.3259140190015,-2.33561905914469,-0.496838092881294,-2.74347337108188,-2.84648568310777,-0.272872646617973,-2.40202458146646,-2.49945592907055,-2.94240395923821,-2.70264779402317,-2.38025831942331,-0.242968497307206,-2.25867294960832,-2.2770530234197,-3.09617723530814,0.0550561001957117,4.12522254952314,0.0122748528314751,-4.53751913887179,4.10887609780673,0.489859596441259,0.74008480553634,1,0.754795852367447,0.997974113734563
"d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia_A; o__CAIPTA01; f__JAALKR01",-1.85532311661303,-2.41690300991426,-1.35207620920555,-2.63293123402901,-1.89976892152035,-1.81598529875412,-2.82069670708468,-2.31574540347021,-2.70715994845568,-2.04093435924496,-2.63213213126182,-2.79136745264273,-2.33851549474116,-0.274318182157453,-0.139584636516895,-2.9249235530515,-2.41699644201028,-2.3443795137443,-1.85348302069356,-2.83074877298159,-2.11657572753417,-0.253255325208853,-0.807201942455281,0.888017375873803,3.7193712765322,0.188802817456453,-2.91882652984926,4.9292366587446,0.384375024852996,0.484223436613805,0.993343433972319,0.461703544133885,0.985190059070186
